service_id,date,exception_type
weekday,20260403,2
weekend,20260403,1
weekday,20260406,2
weekend,20260406,1
weekday,20260501,2
weekend,20260501,1
weekday,20260525,2
weekend,20260525,1
weekday,20260820,2
weekend,20260820,1
weekday,20260821,2
weekend,20260821,1
weekday,20261023,2
weekend,20261023,1
weekday,20261224,2
weekend,20261224,1
weekday,20261225,2
weekend,20261225,1
weekday,20270101,2
weekend,20270101,1
