shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
C1995,47.59853,19.01337,174
C1996,47.59853,19.01337,1
C1996,47.59853,19.01338,2
C1996,47.59852,19.01358,3
C1996,47.59852,19.01365,4
C1996,47.59855,19.01373,5
C1996,47.59846,19.01381,6
C1996,47.5984,19.01385,7
C1996,47.59835,19.01386,8
C1996,47.59836,19.01393,9
C1996,47.59829,19.01447,10
C1996,47.59828,19.01457,11
C1996,47.59828,19.01468,12
C1996,47.59819,19.01515,13
C1996,47.59809,19.01561,14
C1996,47.59799,19.01602,15
C1996,47.59782,19.01662,16
C1996,47.59764,19.01721,17
C1996,47.59754,19.01755,18
C1996,47.59751,19.01768,19
C1996,47.59745,19.01788,20
C1996,47.59734,19.01828,21
C1996,47.59731,19.01837,22
C1996,47.59731,19.01837,23
C1996,47.5973,19.01841,24
C1996,47.59724,19.0185,25
C1996,47.59715,19.01858,26
C1996,47.59623,19.01932,27
C1996,47.59594,19.01965,28
C1996,47.5957,19.02003,29
C1996,47.59554,19.02035,30
C1996,47.59546,19.02058,31
C1996,47.59544,19.02067,32
C1996,47.5954,19.02077,33
C1996,47.59529,19.02109,34
C1996,47.59505,19.02189,35
C1996,47.59496,19.0222,36
C1996,47.59469,19.02311,37
C1996,47.59466,19.02323,38
C1996,47.5946,19.02345,39
C1996,47.59455,19.02357,40
C1996,47.5937,19.02588,41
C1996,47.59358,19.02615,42
C1996,47.59345,19.02645,43
C1996,47.59295,19.02752,44
C1996,47.59279,19.02787,45
C1996,47.59262,19.02824,46
C1996,47.59251,19.02849,47
C1996,47.59251,19.02849,48
C1996,47.59247,19.02856,49
C1996,47.59244,19.02854,50
C1996,47.5924,19.02854,51
C1996,47.59236,19.02856,52
C1996,47.59214,19.02881,53
C1996,47.59177,19.02932,54
C1996,47.59149,19.02971,55
C1996,47.59149,19.02971,56
C1996,47.5912,19.03011,57
C1996,47.59092,19.0305,58
C1996,47.59056,19.03101,59
C1996,47.59053,19.03106,60
C1996,47.59051,19.03111,61
C1996,47.59047,19.03124,62
C1996,47.58967,19.03076,63
C1996,47.58917,19.03045,64
C1996,47.58917,19.03045,65
C1996,47.58912,19.03042,66
C1996,47.58884,19.03174,67
C1996,47.58883,19.0318,68
C1996,47.58869,19.03199,69
C1996,47.58826,19.03257,70
C1996,47.58821,19.03266,71
C1996,47.58817,19.03274,72
C1996,47.58816,19.03284,73
C1996,47.58815,19.03293,74
C1996,47.58816,19.03299,75
C1996,47.58816,19.03305,76
C1996,47.58816,19.03305,77
C1996,47.58818,19.0331,78
C1996,47.58821,19.03314,79
C1996,47.58824,19.03317,80
C1996,47.58825,19.03319,81
C1996,47.58828,19.03323,82
C1996,47.5883,19.03326,83
C1996,47.58833,19.03333,84
C1996,47.58835,19.03341,85
C1996,47.58836,19.03351,86
C1996,47.58836,19.03364,87
C1996,47.58835,19.03384,88
C1996,47.58835,19.03387,89
C1996,47.58834,19.03405,90
C1996,47.5883,19.03409,91
C1996,47.58827,19.03413,92
C1996,47.58823,19.03426,93
C1996,47.58822,19.03437,94
C1996,47.5882,19.03452,95
C1996,47.58818,19.03471,96
C1996,47.58818,19.03479,97
C1996,47.58819,19.03486,98
C1996,47.58821,19.03503,99
C1996,47.58823,19.03513,100
C1996,47.58825,19.03522,101
C1996,47.58827,19.03535,102
C1996,47.58827,19.03542,103
C1996,47.58828,19.0357,104
C1996,47.58828,19.03588,105
C1996,47.58828,19.03602,106
C1996,47.58828,19.03618,107
C1996,47.58829,19.03629,108
C1996,47.58831,19.03641,109
C1996,47.58833,19.03657,110
C1996,47.58834,19.03664,111
C1996,47.58835,19.03669,112
C1996,47.58837,19.03683,113
C1996,47.58839,19.03698,114
C1996,47.58839,19.0372,115
C1996,47.58838,19.03739,116
C1996,47.58837,19.03748,117
C1996,47.58838,19.03753,118
C1996,47.58839,19.03758,119
C1996,47.58843,19.03773,120
C1996,47.58855,19.0381,121
C1996,47.5886,19.03822,122
C1996,47.58864,19.0383,123
C1996,47.58867,19.03837,124
C1996,47.58873,19.03846,125
C1996,47.58917,19.03905,126
C1996,47.58921,19.03912,127
C1996,47.58924,19.03917,128
C1996,47.58925,19.03922,129
C1996,47.58926,19.03929,130
C1996,47.58926,19.03935,131
C1996,47.58924,19.03942,132
C1996,47.58921,19.03947,133
C1996,47.58893,19.03989,134
C1996,47.58874,19.04017,135
C1996,47.5884,19.04072,136
C1996,47.58824,19.04098,137
C1996,47.58808,19.04115,138
C1996,47.58781,19.04137,139
C1996,47.58702,19.042,140
C1996,47.58687,19.04216,141
C1996,47.58678,19.04227,142
C1996,47.58669,19.04239,143
C1996,47.58659,19.04257,144
C1996,47.58656,19.04262,145
C1996,47.58652,19.04271,146
C1996,47.58625,19.04261,147
C1996,47.58616,19.04257,148
C1996,47.586,19.0425,149
C1996,47.58552,19.04228,150
C1996,47.58505,19.04207,151
C1996,47.58504,19.04211,152
C1996,47.58503,19.04216,153
C1996,47.58469,19.04331,154
C1996,47.58454,19.04387,155
C1996,47.5845,19.044,156
C1996,47.58452,19.04406,157
C1996,47.58454,19.04408,158
C1996,47.58454,19.04408,159
C1996,47.58454,19.04408,160
C1996,47.58456,19.0441,161
C1996,47.5846,19.04412,162
C1997,47.59853,19.01337,1
C1997,47.59853,19.01338,2
C1997,47.59852,19.01358,3
C1997,47.59852,19.01365,4
C1997,47.59855,19.01373,5
C1997,47.59872,19.01356,6
C1997,47.59885,19.01341,7
C1997,47.59893,19.01336,8
C1997,47.59899,19.01338,9
C1997,47.59926,19.01358,10
C1997,47.59939,19.01366,11
C1997,47.59979,19.01385,12
C1997,47.59987,19.0139,13
C1997,47.5999,19.01394,14
C1997,47.59992,19.01399,15
C1997,47.59991,19.01405,16
C1997,47.59989,19.01412,17
C1997,47.59978,19.01452,18
C1997,47.59974,19.0147,19
C1997,47.59973,19.0148,20
C1997,47.59974,19.01488,21
C1997,47.59976,19.01495,22
C1997,47.5998,19.01503,23
C1997,47.59988,19.01516,24
C1997,47.59996,19.0153,25
C1997,47.6002,19.01569,26
C1997,47.60027,19.01584,27
C1997,47.6003,19.01594,28
C1997,47.60036,19.01619,29
C1997,47.60038,19.01626,30
C1997,47.60047,19.01662,31
C1997,47.60049,19.0167,32
C1997,47.6005,19.01683,33
C1997,47.60049,19.01698,34
C1997,47.60045,19.01742,35
C1997,47.60043,19.01775,36
C1997,47.60043,19.01798,37
C1997,47.60046,19.01809,38
C1997,47.60051,19.01822,39
C1997,47.60054,19.01826,40
C1997,47.60059,19.01831,41
C1997,47.60067,19.01838,42
C1997,47.60084,19.01853,43
C1997,47.60095,19.01864,44
C1997,47.60101,19.01875,45
C1997,47.60107,19.01889,46
